what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1344397466000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1344397466000
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344397484656
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344397484718
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1344397484718
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344397505015
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344397505218
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344397514937
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344397549500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344397556515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344397560781
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1344397568453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344397568515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344397573734
executed,command,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1344397573750
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344397618562
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344397785250
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344397789734
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344397789734
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344397791906
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344397791906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344397799359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344397857812
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1344397857828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1344397857828
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1344397857859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344397858296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344397862781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344397883937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344398279437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344398291343
error,log,,,"Failure occurred reading .project file.",1344398556562
